Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2021,2,Santiago Del Estero,114089,1,114090
2021,2,Tierra Del Fuego,35404,289,35693
2021,2,Tucumán,233026,25,233051
2021,1,Buenos Aires,4054936,5066,4060002
2021,1,Capital Federal,1378283,1390,1379673
2021,1,Catamarca,51967,1,51968
2021,1,Chaco,139767,3,139770
2021,1,Chubut,131515,825,132340
2021,1,Córdoba,910826,55,910881
2021,1,Corrientes,126622,3,126625
2021,1,Entre Ríos,251950,13,251963
2021,1,Formosa,50686,0,50686
2021,1,Jujuy,110456,0,110456
2021,1,La Pampa,96989,116,97105
2021,1,La Rioja,52625,3,52628
2021,1,Mendoza,218308,615,218923
2021,1,Misiones,149387,0,149387
2021,1,Neuquén,132862,373,133235
2021,1,Río Negro,140667,501,141168
2021,1,Salta,187572,2,187574
2021,1,San Juan,78011,256,78267
2021,1,San Luis,119006,148,119154
2021,1,Santa Cruz,45868,197,46065
2021,1,Santa Fe,825990,137,826127
2021,1,Santiago Del Estero,111640,1,111641
2021,1,Tierra Del Fuego,40133,289,40422
2021,1,Tucumán,231890,22,231912
2020,4,Buenos Aires,4028195,5066,4033261
2020,4,Capital Federal,1378140,1390,1379530
2020,4,Catamarca,52395,1,52396
2020,4,Chaco,139088,3,139091
2020,4,Chubut,129749,825,130574
2020,4,Córdoba,902646,55,902701
2020,4,Corrientes,125656,3,125659
2020,4,Entre Ríos,247368,13,247381
2020,4,Formosa,50206,0,50206
2020,4,Jujuy,105851,0,105851
2020,4,La Pampa,96779,116,96895
2020,4,La Rioja,52775,3,52778
2020,4,Mendoza,214838,615,215453
2020,4,Misiones,147161,0,147161
2020,4,Neuquén,132762,373,133135
2020,4,Río Negro,140709,501,141210
2020,4,Salta,187388,2,187390
2020,4,San Juan,72340,256,72596
2020,4,San Luis,119287,148,119435
2020,4,Santa Cruz,40477,197,40674
2020,4,Santa Fe,820676,137,820813
2020,4,Santiago Del Estero,106668,1,106669
2020,4,Tierra Del Fuego,39325,289,39614
2020,4,Tucumán,231067,22,231089
2020,3,Buenos Aires,3932211,5066,3937277
2020,3,Capital Federal,1371285,1390,1372675
2020,3,Catamarca,49903,1,49904
2020,3,Chaco,133951,3,133954
2020,3,Chubut,129202,825,130027
2020,3,Córdoba,867417,55,867472
2020,3,Corrientes,123388,3,123391
2020,3,Entre Ríos,241482,13,241495
2020,3,Formosa,49209,0,49209
2020,3,Jujuy,106728,0,106728
2020,3,La Pampa,93619,116,93735
2020,3,La Rioja,52613,3,52616
2020,3,Mendoza,207173,615,207788
2020,3,Misiones,143186,0,143186
2020,3,Neuquén,128862,373,129235
2020,3,Río Negro,130966,501,131467
2020,3,Salta,180844,2,180846
2020,3,San Juan,77071,256,77327
2020,3,San Luis,116417,148,116565
2020,3,Santa Cruz,39084,197,39281
2020,3,Santa Fe,802861,137,802998
2020,3,Santiago Del Estero,105491,1,105492
2020,3,Tierra Del Fuego,39366,289,39655
2020,3,Tucumán,223854,22,223876
2020,2,Buenos Aires,3772480,5066,3777546
2020,2,Capital Federal,1356431,1390,1357821
2020,2,Catamarca,47975,1,47976
2020,2,Chaco,128129,3,128132
2020,2,Chubut,107831,825,108656
2020,2,Córdoba,836413,55,836468
2020,2,Corrientes,118863,3,118866
2020,2,Entre Ríos,234100,13,234113
2020,2,Formosa,47932,0,47932
2020,2,Jujuy,94316,0,94316
2020,2,La Pampa,89693,116,89809
2020,2,La Rioja,52152,3,52155
2020,2,Mendoza,200569,615,201184
2020,2,Misiones,140340,0,140340
2020,2,Neuquén,125799,373,126172
2020,2,Río Negro,128985,501,129486
2020,2,Salta,177760,2,177762
2020,2,San Juan,69521,256,69777
2020,2,San Luis,113804,148,113952
2020,2,Santa Cruz,38672,197,38869
2020,2,Santa Fe,777795,137,777932
2020,2,Santiago Del Estero,105446,1,105447
2020,2,Tierra Del Fuego,38900,289,39189
2020,2,Tucumán,217134,22,217156
2020,1,Buenos Aires,3702985,5066,3708051
2020,1,Capital Federal,1352104,1390,1353494
2020,1,Catamarca,39634,1,39635
2020,1,Chaco,120274,3,120277
2020,1,Chubut,95938,800,96738
2020,1,Córdoba,811044,55,811099
2020,1,Corrientes,113967,3,113970
2020,1,Entre Ríos,231833,13,231846
2020,1,Formosa,46434,0,46434
2020,1,Jujuy,91665,0,91665
2020,1,La Pampa,89110,116,89226
2020,1,La Rioja,48337,3,48340
2020,1,Mendoza,182837,615,183452
2020,1,Misiones,133552,0,133552
2020,1,Neuquén,121354,373,121727
2020,1,Río Negro,125699,501,126200
2020,1,Salta,170379,2,170381
2020,1,San Juan,63975,256,64231
2020,1,San Luis,110404,148,110552
2020,1,Santa Cruz,38625,197,38822
2020,1,Santa Fe,770981,137,771118
2020,1,Santiago Del Estero,102754,1,102755
2020,1,Tierra Del Fuego,38505,289,38794
2020,1,Tucumán,200045,22,200067
2019,4,Buenos Aires,3681120,5134,3686254
2019,4,Capital Federal,1356695,1410,1358105
2019,4,Catamarca,38310,1,38311
2019,4,Chaco,117900,3,117903
2019,4,Chubut,95292,810,96102
2019,4,Córdoba,806633,55,806688
2019,4,Corrientes,113831,3,113834
2019,4,Entre Ríos,239017,13,239030
2019,4,Formosa,46711,0,46711
2019,4,Jujuy,88881,0,88881
2019,4,La Pampa,90280,119,90399
2019,4,La Rioja,48999,3,49002
2019,4,Mendoza,185157,623,185780
2019,4,Misiones,135813,0,135813
2019,4,Neuquén,116069,376,116445
2019,4,Río Negro,126636,504,127140
2019,4,Salta,172443,2,172445
2019,4,San Juan,64715,259,64974
2019,4,San Luis,108053,148,108201
2019,4,Santa Cruz,39170,200,39370
2019,4,Santa Fe,769019,150,769169
2019,4,Santiago Del Estero,103587,1,103588
2019,4,Tierra Del Fuego,40101,291,40392
2019,4,Tucumán,198621,23,198644
2019,3,Buenos Aires,3950114,10119,3960233
2019,3,Capital Federal,1437734,3477,1441211
2019,3,Catamarca,32391,9,32400
2019,3,Chaco,114438,13,114451
2019,3,Chubut,87481,1524,89005
2019,3,Córdoba,782946,107,783053
2019,3,Corrientes,112749,10,112759
2019,3,Entre Ríos,238057,45,238102
2019,3,Formosa,46066,0,46066
2019,3,Jujuy,86575,1,86576
2019,3,La Pampa,90559,269,90828
2019,3,La Rioja,49659,18,49677
2019,3,Mendoza,223015,1322,224337
2019,3,Misiones,133883,0,133883
2019,3,Neuquén,123435,1986,125421
2019,3,Río Negro,143391,904,144295
2019,3,Salta,151834,1,151835
2019,3,San Juan,72535,563,73098
2019,3,San Luis,122409,291,122700
2019,3,Santa Cruz,37642,328,37970
2019,3,Santa Fe,760706,228,760934
2019,3,Santiago Del Estero,133130,2,133132
2019,3,Tierra Del Fuego,48043,544,48587
2019,3,Tucumán,164099,32,164131
2019,2,Buenos Aires,3845594,10104,3855698
2019,2,Capital Federal,1412177,3443,1415620
2019,2,Catamarca,33626,9,33635
2019,2,Chaco,108721,13,108734
2019,2,Chubut,86038,1518,87556
2019,2,Córdoba,775023,105,775128
2019,2,Corrientes,111539,10,111549
2019,2,Entre Ríos,235780,44,235824
2019,2,Formosa,46438,0,46438
2019,2,Jujuy,86706,1,86707
2019,2,La Pampa,89937,268,90205
2019,2,La Rioja,50283,18,50301
2019,2,Mendoza,222535,1322,223857
2019,2,Misiones,132878,0,132878
2019,2,Neuquén,120954,1999,122953
2019,2,Río Negro,137632,915,138547
2019,2,Salta,142567,1,142568
2019,2,San Juan,69461,564,70025
2019,2,San Luis,117094,291,117385
2019,2,Santa Cruz,30225,325,30550
2019,2,Santa Fe,743258,226,743484
2019,2,Santiago Del Estero,126752,2,126754
2019,2,Tierra Del Fuego,46910,544,47454
2019,2,Tucumán,166299,32,166331
2019,1,Buenos Aires,3736563,10104,3746667
2019,1,Capital Federal,1396157,3443,1399600
2019,1,Catamarca,33613,9,33622
2019,1,Chaco,103664,13,103677
2019,1,Chubut,78260,1518,79778
2019,1,Córdoba,744010,105,744115
2019,1,Corrientes,102477,10,102487
2019,1,Entre Ríos,232403,44,232447
2019,1,Formosa,45211,0,45211
2019,1,Jujuy,90146,1,90147
2019,1,La Pampa,88892,268,89160
2019,1,La Rioja,51638,18,51656
2019,1,Mendoza,204976,1322,206298
2019,1,Misiones,122720,0,122720
2019,1,Neuquén,112321,2056,114377
2019,1,Río Negro,120173,915,121088
2019,1,Salta,136019,1,136020
2019,1,San Juan,61881,564,62445
2019,1,San Luis,96044,291,96335
2019,1,Santa Cruz,24580,325,24905
2019,1,Santa Fe,736851,227,737078
2019,1,Santiago Del Estero,89851,2,89853
2019,1,Tierra Del Fuego,45903,544,46447
2019,1,Tucumán,171970,32,172002
2018,4,Buenos Aires,3626502,10104,3636606
2018,4,Capital Federal,1385577,3443,1389020
2018,4,Catamarca,33574,9,33583
2018,4,Chaco,103257,13,103270
2018,4,Chubut,77204,1518,78722
2018,4,Córdoba,737234,105,737339
2018,4,Corrientes,100591,10,100601
2018,4,Entre Ríos,222003,44,222047
2018,4,Formosa,45204,0,45204
2018,4,Jujuy,90132,1,90133
2018,4,La Pampa,85368,268,85636
2018,4,La Rioja,51633,18,51651
2018,4,Mendoza,204982,1322,206304
2018,4,Misiones,116273,0,116273
2018,4,Neuquén,112309,2056,114365
2018,4,Río Negro,115922,915,116837
2018,4,Salta,134577,1,134578
2018,4,San Juan,61834,564,62398
2018,4,San Luis,96040,291,96331
2018,4,Santa Cruz,24443,325,24768
2018,4,Santa Fe,720161,229,720390
2018,4,Santiago Del Estero,89333,2,89335
2018,4,Tierra Del Fuego,45716,544,46260
2018,4,Tucumán,171972,32,172004
2018,3,Buenos Aires,3599714,10563,3610277
2018,3,Capital Federal,1385804,6686,1392490
2018,3,Catamarca,34215,11,34226
2018,3,Chaco,102021,12,102033
2018,3,Chubut,101310,2426,103736
2018,3,Córdoba,725764,94,725858
2018,3,Corrientes,99445,11,99456
2018,3,Entre Ríos,204560,48,204608
2018,3,Formosa,44865,0,44865
2018,3,Jujuy,44934,1,44935
2018,3,La Pampa,83180,244,83424
2018,3,La Rioja,51855,17,51872
2018,3,Mendoza,205545,1484,207029
2018,3,Misiones,108042,0,108042
2018,3,Neuquén,114713,2005,116718
2018,3,Río Negro,112433,1059,113492
2018,3,Salta,132882,1,132883
2018,3,San Juan,63823,658,64481
2018,3,San Luis,74121,300,74421
2018,3,Santa Cruz,33565,434,33999
2018,3,Santa Fe,694883,217,695100
2018,3,Santiago Del Estero,86358,2,86360
2018,3,Tierra Del Fuego,45056,508,45564
2018,3,Tucumán,171135,31,171166
2018,2,Buenos Aires,3490134,10565,3500699
2018,2,Capital Federal,1362498,6688,1369186
2018,2,Catamarca,34078,11,34089
2018,2,Chaco,98509,12,98521
2018,2,Chubut,98137,2427,100564
2018,2,Córdoba,712979,94,713073
2018,2,Corrientes,97946,11,97957
2018,2,Entre Ríos,199937,48,199985
2018,2,Formosa,44554,0,44554
2018,2,Jujuy,45132,1,45133
2018,2,La Pampa,82177,244,82421
2018,2,La Rioja,51931,17,51948
2018,2,Mendoza,199468,1484,200952
2018,2,Misiones,106147,0,106147
2018,2,Neuquén,113842,2006,115848
2018,2,Río Negro,111176,1059,112235
2018,2,Salta,134166,1,134167
2018,2,San Juan,63443,658,64101
2018,2,San Luis,21168,300,21468
2018,2,Santa Cruz,33970,435,34405
2018,2,Santa Fe,684243,309,684552
2018,2,Santiago Del Estero,83773,2,83775
2018,2,Tierra Del Fuego,44199,508,44707
2018,2,Tucumán,169926,31,169957
2018,1,Buenos Aires,3464882,10564,3475446
2018,1,Capital Federal,1359882,6688,1366570
2018,1,Catamarca,33934,11,33945
2018,1,Chaco,96925,12,96937
2018,1,Chubut,95532,2427,97959
2018,1,Córdoba,713825,101,713926
2018,1,Corrientes,94406,11,94417
2018,1,Entre Ríos,197346,48,197394
2018,1,Formosa,32328,0,32328
2018,1,Jujuy,44405,1,44406
2018,1,La Pampa,82668,396,83064
2018,1,La Rioja,52228,17,52245
2018,1,Mendoza,199463,1484,200947
2018,1,Misiones,103580,0,103580
2018,1,Neuquén,115897,2006,117903
2018,1,Río Negro,110057,1062,111119
2018,1,Salta,133182,1,133183
2018,1,San Juan,62610,658,63268
2018,1,San Luis,21096,300,21396
2018,1,Santa Cruz,33970,435,34405
2018,1,Santa Fe,679717,309,680026
2018,1,Santiago Del Estero,82916,2,82918
2018,1,Tierra Del Fuego,31106,508,31614
2018,1,Tucumán,168026,31,168057
2017,4,Buenos Aires,3171206,10690,3181896
2017,4,Capital Federal,1575418,6906,1582324
2017,4,Catamarca,29548,10,29558
2017,4,Chaco,96603,12,96615
2017,4,Chubut,91012,2428,93440
2017,4,Córdoba,709874,105,709979
2017,4,Corrientes,93760,11,93771
2017,4,Entre Ríos,193654,49,193703
2017,4,Formosa,32056,0,32056
2017,4,Jujuy,43551,1,43552
2017,4,La Pampa,81675,396,82071
2017,4,La Rioja,52177,17,52194
2017,4,Mendoza,178661,1490,180151
2017,4,Misiones,103895,0,103895
2017,4,Neuquén,114965,2006,116971
2017,4,Río Negro,108702,1062,109764
2017,4,Salta,132811,1,132812
2017,4,San Juan,57965,659,58624
2017,4,San Luis,14604,300,14904
2017,4,Santa Cruz,29018,434,29452
2017,4,Santa Fe,672137,323,672460
2017,4,Santiago Del Estero,68842,2,68844
2017,4,Tierra Del Fuego,28346,508,28854
2017,4,Tucumán,162298,34,162332
2017,3,Buenos Aires,3046758,11202,3057960
2017,3,Capital Federal,1563289,7070,1570359
2017,3,Catamarca,33467,11,33478
2017,3,Chaco,93747,12,93759
2017,3,Chubut,81067,2477,83544
2017,3,Córdoba,696536,108,696644
2017,3,Corrientes,92536,12,92548
2017,3,Entre Ríos,185414,50,185464
2017,3,Formosa,32105,0,32105
2017,3,Jujuy,43241,1,43242
2017,3,La Pampa,79280,410,79690
2017,3,La Rioja,51896,17,51913
2017,3,Mendoza,190958,1533,192491
2017,3,Misiones,100476,0,100476
2017,3,Neuquén,113755,2029,115784
2017,3,Río Negro,106393,1103,107496
2017,3,Salta,132517,1,132518
2017,3,San Juan,61789,660,62449
2017,3,San Luis,21408,311,21719
2017,3,Santa Cruz,33222,468,33690
2017,3,Santa Fe,662086,256,662342
2017,3,Santiago Del Estero,82792,2,82794
2017,3,Tierra Del Fuego,30883,583,31466
2017,3,Tucumán,160979,33,161012
2017,2,Buenos Aires,3067430,11201,3078631
2017,2,Capital Federal,1592175,8016,1600191
2017,2,Catamarca,26692,13,26705
2017,2,Chaco,90597,14,90611
2017,2,Chubut,62245,1730,63975
2017,2,Córdoba,657505,133,657638
2017,2,Corrientes,90085,12,90097
2017,2,Entre Ríos,182675,57,182732
2017,2,Formosa,29956,0,29956
2017,2,Jujuy,42656,1,42657
2017,2,La Pampa,72573,449,73022
2017,2,La Rioja,16271,18,16289
2017,2,Mendoza,169302,1451,170753
2017,2,Misiones,99794,0,99794
2017,2,Neuquén,115321,2112,117433
2017,2,Río Negro,100621,998,101619
2017,2,Salta,108540,1,108541
2017,2,San Juan,51261,620,51881
2017,2,San Luis,12992,315,13307
2017,2,Santa Cruz,26019,369,26388
2017,2,Santa Fe,566918,362,567280
2017,2,Santiago Del Estero,33194,2,33196
2017,2,Tierra Del Fuego,31938,619,32557
2017,2,Tucumán,154374,37,154411
2017,1,Buenos Aires,3178174,11202,3189376
2017,1,Capital Federal,1391030,8016,1399046
2017,1,Catamarca,26304,13,26317
2017,1,Chaco,89036,14,89050
2017,1,Chubut,62166,1730,63896
2017,1,Córdoba,641066,133,641199
2017,1,Corrientes,88596,12,88608
2017,1,Entre Ríos,180296,57,180353
2017,1,Formosa,29705,0,29705
2017,1,Jujuy,43202,1,43203
2017,1,La Pampa,71458,455,71913
2017,1,La Rioja,16207,18,16225
2017,1,Mendoza,169282,1451,170733
2017,1,Misiones,97619,0,97619
2017,1,Neuquén,113227,2112,115339
2017,1,Río Negro,100288,1000,101288
2017,1,Salta,107632,1,107633
2017,1,San Juan,51253,620,51873
2017,1,San Luis,12992,315,13307
2017,1,Santa Cruz,26116,370,26486
2017,1,Santa Fe,562520,362,562882
2017,1,Santiago Del Estero,34473,2,34475
2017,1,Tierra Del Fuego,31938,619,32557
2017,1,Tucumán,152734,37,152771
2016,4,Buenos Aires,3131499,11202,3142701
2016,4,Capital Federal,1393443,8016,1401459
2016,4,Catamarca,27021,13,27034
2016,4,Chaco,88833,14,88847
2016,4,Chubut,62035,1730,63765
2016,4,Córdoba,636422,133,636555
2016,4,Corrientes,88084,12,88096
2016,4,Entre Ríos,180188,57,180245
2016,4,Formosa,29513,0,29513
2016,4,Jujuy,42624,1,42625
2016,4,La Pampa,71368,460,71828
2016,4,La Rioja,16298,18,16316
2016,4,Mendoza,169274,1451,170725
2016,4,Misiones,97390,0,97390
2016,4,Neuquén,111723,2112,113835
2016,4,Río Negro,100020,1000,101020
2016,4,Salta,106934,1,106935
2016,4,San Juan,51301,620,51921
2016,4,San Luis,12992,315,13307
2016,4,Santa Cruz,26094,370,26464
2016,4,Santa Fe,561470,362,561832
2016,4,Santiago Del Estero,35049,2,35051
2016,4,Tierra Del Fuego,31938,619,32557
2016,4,Tucumán,151615,37,151652
2016,3,Buenos Aires,3075387,11205,3086592
2016,3,Capital Federal,1395053,8051,1403104
2016,3,Catamarca,26957,13,26970
2016,3,Chaco,89216,14,89230
2016,3,Chubut,62222,1730,63952
2016,3,Córdoba,642458,133,642591
2016,3,Corrientes,88328,12,88340
2016,3,Entre Ríos,181092,57,181149
2016,3,Formosa,27716,0,27716
2016,3,Jujuy,42537,1,42538
2016,3,La Pampa,69903,461,70364
2016,3,La Rioja,16912,18,16930
2016,3,Mendoza,169174,1450,170624
2016,3,Misiones,97997,0,97997
2016,3,Neuquén,110491,2112,112603
2016,3,Río Negro,100024,1002,101026
2016,3,Salta,107790,1,107791
2016,3,San Juan,51348,620,51968
2016,3,San Luis,12978,315,13293
2016,3,Santa Cruz,25886,371,26257
2016,3,Santa Fe,566625,386,567011
2016,3,Santiago Del Estero,35658,2,35660
2016,3,Tierra Del Fuego,31306,619,31925
2016,3,Tucumán,151282,37,151319
2016,2,Buenos Aires,3032776,12515,3045291
2016,2,Capital Federal,1384824,9760,1394584
2016,2,Catamarca,26543,13,26556
2016,2,Chaco,88235,16,88251
2016,2,Chubut,62116,1740,63856
2016,2,Córdoba,634680,234,634914
2016,2,Corrientes,86932,24,86956
2016,2,Entre Ríos,178194,179,178373
2016,2,Formosa,28801,1,28802
2016,2,Jujuy,41187,2,41189
2016,2,La Pampa,68403,485,68888
2016,2,La Rioja,16718,18,16736
2016,2,Mendoza,169274,1550,170824
2016,2,Misiones,95808,7,95815
2016,2,Neuquén,108224,2291,110515
2016,2,Río Negro,99631,1073,100704
2016,2,Salta,104929,3,104932
2016,2,San Juan,51392,621,52013
2016,2,San Luis,12939,317,13256
2016,2,Santa Cruz,25797,356,26153
2016,2,Santa Fe,563867,607,564474
2016,2,Santiago Del Estero,36958,3,36961
2016,2,Tierra Del Fuego,30740,619,31359
2016,2,Tucumán,148636,41,148677
2016,1,Buenos Aires,2929903,12612,2942515
2016,1,Capital Federal,1328079,9817,1337896
2016,1,Catamarca,26376,13,26389
2016,1,Chaco,86635,16,86651
2016,1,Chubut,62060,1740,63800
2016,1,Córdoba,609692,234,609926
2016,1,Corrientes,85510,26,85536
2016,1,Entre Ríos,174634,179,174813
2016,1,Formosa,28313,1,28314
2016,1,Jujuy,40287,2,40289
2016,1,La Pampa,65442,487,65929
2016,1,La Rioja,16673,18,16691
2016,1,Mendoza,169257,1553,170810
2016,1,Misiones,92951,7,92958
2016,1,Neuquén,101969,2292,104261
2016,1,Río Negro,98745,1077,99822
2016,1,Salta,102423,3,102426
2016,1,San Juan,51373,621,51994
2016,1,San Luis,12915,317,13232
2016,1,Santa Cruz,25931,356,26287
2016,1,Santa Fe,551378,618,551996
2016,1,Santiago Del Estero,37695,3,37698
2016,1,Tierra Del Fuego,29867,619,30486
2016,1,Tucumán,146596,41,146637
2015,4,Buenos Aires,2946743,12642,2959385
2015,4,Capital Federal,1360381,9845,1370226
2015,4,Catamarca,26459,13,26472
2015,4,Chaco,86537,16,86553
2015,4,Chubut,62279,1740,64019
2015,4,Córdoba,625835,235,626070
2015,4,Corrientes,85409,26,85435
2015,4,Entre Ríos,173957,180,174137
2015,4,Formosa,28088,1,28089
2015,4,Jujuy,39922,2,39924
2015,4,La Pampa,66054,312,66366
2015,4,La Rioja,16914,18,16932
2015,4,Mendoza,169251,1556,170807
2015,4,Misiones,92846,7,92853
2015,4,Neuquén,105122,2294,107416
2015,4,Río Negro,98655,1067,99722
2015,4,Salta,101917,3,101920
2015,4,San Juan,51408,621,52029
2015,4,San Luis,12901,317,13218
2015,4,Santa Cruz,26047,356,26403
2015,4,Santa Fe,561045,627,561672
2015,4,Santiago Del Estero,39132,3,39135
2015,4,Tierra Del Fuego,29334,619,29953
2015,4,Tucumán,146053,42,146095
2015,3,Buenos Aires,2916070,12695,2928765
2015,3,Capital Federal,1362193,9875,1372068
2015,3,Catamarca,26080,13,26093
2015,3,Chaco,85354,16,85370
2015,3,Chubut,62143,1740,63883
2015,3,Córdoba,622761,237,622998
2015,3,Corrientes,84931,28,84959
2015,3,Entre Ríos,172252,182,172434
2015,3,Formosa,27751,1,27752
2015,3,Jujuy,39548,2,39550
2015,3,La Pampa,64976,495,65471
2015,3,La Rioja,16753,18,16771
2015,3,Mendoza,169261,1562,170823
2015,3,Misiones,91615,7,91622
2015,3,Neuquén,98376,2240,100616
2015,3,Río Negro,98529,1085,99614
2015,3,Salta,100570,3,100573
2015,3,San Juan,51409,621,52030
2015,3,San Luis,12902,317,13219
2015,3,Santa Cruz,25912,359,26271
2015,3,Santa Fe,556097,641,556738
2015,3,Santiago Del Estero,39394,3,39397
2015,3,Tierra Del Fuego,33118,619,33737
2015,3,Tucumán,144272,42,144314
2015,2,Buenos Aires,2871079,12711,2883790
2015,2,Capital Federal,1336391,9893,1346284
2015,2,Catamarca,25666,13,25679
2015,2,Chaco,83832,16,83848
2015,2,Chubut,61745,1740,63485
2015,2,Córdoba,609510,236,609746
2015,2,Corrientes,83288,28,83316
2015,2,Entre Ríos,169309,183,169492
2015,2,Formosa,27013,37,27050
2015,2,Jujuy,37720,2,37722
